SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
L,3.81842,0.193842,0.177533,1.62539,1.07533
R,5.23492,0.193034,0.176792,1.61859,1.07081
L,0.0920737,0.192251,0.176067,1.61188,1.06635
R,4.85955,0.191455,0.17534,1.60521,1.06193
L,1.6021,0.190669,0.174673,1.59862,1.05758
R,1.83677,0.189901,0.173985,1.59211,1.05327
L,0.325754,0.189134,0.173299,1.58568,1.04902
R,0.653664,0.188377,0.172616,1.57932,1.04482
L,4.06432,0.187633,0.171958,1.57304,1.04072
R,1.13,0.186893,0.171311,1.56684,1.03664
L,0.0507428,0.186162,0.170668,1.56071,1.03261
R,0.507573,0.185442,0.170041,1.55465,1.02863
L,1.47705,0.184742,0.169387,1.54866,1.02467
R,0.524791,0.184057,0.168743,1.54275,1.02077
L,1.01652,0.183371,0.168104,1.5369,1.0169
R,0.736503,0.182712,0.167471,1.53112,1.0131
L,1.26984,0.1821,0.16686,1.52544,1.00932
R,6.42183,0.181461,0.16625,1.5198,1.00559
L,2.15756,0.180795,0.165638,1.5142,1.00191
R,2.68951,0.180145,0.165037,1.50867,0.998263
L,0.577574,0.179491,0.164438,1.5032,0.994648
R,0.374245,0.178847,0.163848,1.49778,0.991084
L,0.918564,0.178212,0.163264,1.49242,0.987553
R,0.153946,0.177582,0.162691,1.48712,0.984073
L,0.124646,0.176956,0.162123,1.48188,0.980629
R,2.30939,0.17634,0.161562,1.47669,0.97722
L,1.13237,0.175757,0.161003,1.47158,0.973829
R,1.17486,0.175167,0.16046,1.4665,0.970465
L,0.869918,0.174646,0.159963,1.46151,0.96714
R,1.77016,0.174191,0.159456,1.45658,0.963845
L,2.92602,0.173636,0.158986,1.45167,0.960588
R,0.192569,0.173095,0.158537,1.4468,0.957366
L,2.28166,0.172615,0.158031,1.442,0.95417
R,1.2379,0.172116,0.157548,1.43723,0.951007
L,2.13505,0.171583,0.157029,1.4325,0.94788
R,1.09415,0.171076,0.156515,1.42782,0.944796
L,0.200527,0.170616,0.156009,1.42319,0.941752
R,1.88124,0.170193,0.155527,1.41861,0.938772
L,0.0621635,0.16976,0.155062,1.41408,0.935832
R,0.216541,0.169355,0.154636,1.40958,0.932969
L,2.69582,0.168865,0.154185,1.40512,0.930099
R,0.283051,0.16839,0.153781,1.4007,0.927311
L,0.6869,0.167982,0.153351,1.39633,0.924533
R,4.45127,0.167601,0.152967,1.39202,0.921902
L,1.06999,0.167337,0.15255,1.38776,0.919268
R,3.0355,0.167147,0.152125,1.38356,0.916648
L,1.66975,0.166878,0.151687,1.37938,0.914025
R,1.95948,0.166638,0.151302,1.37523,0.911579
L,1.13406,0.166309,0.150929,1.3711,0.90916
R,0.539088,0.166021,0.150591,1.36701,0.906799
L,3.35998,0.165549,0.150335,1.36294,0.904513
R,5.46699,0.16506,0.150041,1.35892,0.902092
