SENSOR_TYPE,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
L,0.0921338,0.0998311,0.68791,0.588167
R,0.0919355,0.0999727,0.685727,0.586098
L,0.0916085,0.0997586,0.683378,0.584665
R,0.091282,0.0999495,0.680942,0.582605
L,0.0909634,0.099886,0.67855,0.580895
R,0.0906426,0.0998374,0.676307,0.579465
L,0.0903571,0.0995164,0.67401,0.579215
R,0.0901185,0.0991729,0.671666,0.578949
L,0.0898089,0.0988782,0.669529,0.579361
R,0.0895033,0.09855,0.66725,0.578509
L,0.0892001,0.098304,0.665066,0.578448
R,0.0889056,0.0980671,0.662818,0.577496
L,0.0886364,0.0978264,0.66059,0.576928
R,0.0884084,0.0975768,0.658445,0.57572
L,0.0884245,0.0973501,0.656407,0.575013
R,0.0885737,0.0970436,0.654707,0.57331
L,0.08872,0.0967265,0.652815,0.571768
R,0.0889027,0.0964168,0.650987,0.570228
L,0.0886838,0.0961063,0.648884,0.568866
R,0.0885932,0.0958016,0.646918,0.567332
L,0.0885159,0.0955175,0.644929,0.566206
R,0.0884674,0.0952251,0.64308,0.564676
L,0.0883448,0.0949519,0.641105,0.563149
R,0.0883076,0.0947588,0.639265,0.561435
L,0.0880763,0.0946129,0.637282,0.559834
R,0.087943,0.0946899,0.63543,0.558106
L,0.0876752,0.0950069,0.633479,0.556409
R,0.0874588,0.0952101,0.631567,0.554927
L,0.0875127,0.0950206,0.629906,0.554308
R,0.0876881,0.0948128,0.628521,0.553255
L,0.0874433,0.0946514,0.626652,0.552314
R,0.0872149,0.094416,0.624822,0.55188
L,0.087046,0.0942026,0.623049,0.551592
R,0.0869191,0.0939876,0.621222,0.550605
L,0.0866784,0.0937141,0.619585,0.550387
R,0.0864274,0.0934707,0.617986,0.54937
L,0.0862783,0.0932635,0.616667,0.548564
R,0.0862006,0.0930838,0.61562,0.547366
L,0.0860905,0.092933,0.614409,0.546351
R,0.0859977,0.0927978,0.613438,0.544928
L,0.0866126,0.0925747,0.613566,0.543895
R,0.0876046,0.0923582,0.61404,0.542819
L,0.0887859,0.0921262,0.614412,0.542033
R,0.0902922,0.0918802,0.615012,0.541224
L,0.0916574,0.0916282,0.615139,0.540709
R,0.0932079,0.0913786,0.615464,0.539948
L,0.0950382,0.0911518,0.615838,0.539566
R,0.0976186,0.0909046,0.617074,0.538355
L,0.0986328,0.0906589,0.616402,0.537223
R,0.0996836,0.090432,0.615804,0.535881
L,0.100396,0.0901904,0.614863,0.534778
R,0.100966,0.0899721,0.613804,0.533945
L,0.100941,0.0897451,0.612265,0.533189
R,0.101086,0.0895138,0.611013,0.53196
L,0.100975,0.0893083,0.609543,0.530932
R,0.100833,0.0891234,0.608091,0.530064
L,0.100608,0.0889574,0.606539,0.529342
R,0.10036,0.0887595,0.605013,0.527976
L,0.100227,0.0886116,0.604067,0.526681
R,0.10005,0.0885293,0.602988,0.525686
L,0.100069,0.0884711,0.602366,0.524848
R,0.100311,0.0883775,0.60227,0.523566
L,0.100354,0.0886076,0.601739,0.522552
R,0.100388,0.0886226,0.601245,0.521251
L,0.100333,0.0885969,0.600512,0.519953
R,0.100336,0.0886869,0.599837,0.51895
L,0.100215,0.0889146,0.598889,0.518136
R,0.100264,0.0890967,0.598296,0.517374
L,0.100189,0.0890946,0.597404,0.516505
R,0.100183,0.0891987,0.596662,0.515803
L,0.10037,0.0895447,0.596266,0.515396
R,0.100596,0.0896681,0.595914,0.514187
L,0.10083,0.0896927,0.595492,0.512991
R,0.101312,0.0897834,0.595396,0.511852
L,0.102308,0.0898013,0.5959,0.510725
R,0.103438,0.08999,0.596361,0.509886
L,0.103791,0.0902263,0.595653,0.509141
R,0.104129,0.090278,0.594902,0.507954
L,0.104642,0.0902852,0.594338,0.506782
R,0.10537,0.0901483,0.593957,0.505912
L,0.105157,0.0899619,0.592588,0.504987
R,0.104941,0.089756,0.591235,0.504377
L,0.104798,0.0895533,0.589998,0.503678
R,0.104698,0.0893498,0.588862,0.502613
L,0.104611,0.0891515,0.587683,0.501485
R,0.104465,0.088954,0.586381,0.500372
L,0.10434,0.0887579,0.585074,0.499279
R,0.104152,0.0885815,0.583784,0.498218
L,0.104145,0.0884556,0.582498,0.497241
R,0.104008,0.0883223,0.581233,0.496198
L,0.103794,0.0881597,0.580441,0.495136
R,0.103583,0.088011,0.579651,0.494235
L,0.103549,0.0878888,0.579421,0.493357
R,0.103514,0.0877299,0.578907,0.492296
L,0.10353,0.0875469,0.578402,0.491248
R,0.103599,0.0873643,0.57782,0.490444
L,0.103513,0.0871857,0.576884,0.489458
R,0.103403,0.0870189,0.575892,0.488421
L,0.103193,0.0869187,0.574704,0.487389
R,0.103041,0.0867689,0.5736,0.486439
L,0.10285,0.0865928,0.572441,0.485598
R,0.102644,0.0864112,0.571277,0.484586
L,0.102435,0.0862303,0.570113,0.483578
R,0.102319,0.086063,0.569124,0.482638
L,0.102107,0.0858843,0.567944,0.48164
R,0.10193,0.0857441,0.566801,0.480655
L,0.101723,0.0855902,0.565635,0.479668
R,0.101604,0.0854401,0.564771,0.478743
L,0.101545,0.0852796,0.56397,0.4778
R,0.1014,0.0851375,0.562882,0.476828
L,0.101199,0.0851651,0.561767,0.475956
R,0.10107,0.0853766,0.560715,0.475485
L,0.101037,0.0856884,0.559749,0.475058
R,0.100878,0.0859056,0.558661,0.474225
L,0.100703,0.0859224,0.557553,0.473295
R,0.100507,0.0859177,0.556474,0.472425
L,0.10031,0.0858378,0.555446,0.471503
R,0.100115,0.0857555,0.554351,0.470577
L,0.0999395,0.0855898,0.553319,0.46978
R,0.0997924,0.0854225,0.552432,0.468897
L,0.099842,0.0852947,0.551821,0.468197
R,0.0998353,0.0851529,0.55085,0.467535
L,0.0997285,0.0849891,0.549794,0.466689
R,0.0996057,0.0848896,0.548754,0.465843
L,0.0994863,0.0847936,0.547712,0.464988
R,0.0994446,0.0846621,0.546755,0.464108
L,0.0994222,0.0845015,0.545791,0.46325
R,0.0993747,0.0843433,0.544763,0.462416
L,0.0993788,0.0842266,0.543745,0.461719
R,0.0994048,0.0840809,0.542888,0.460868
L,0.0995639,0.0840431,0.542064,0.460219
R,0.0998541,0.0840425,0.541355,0.459581
L,0.0999025,0.0839541,0.540425,0.458752
R,0.0999136,0.0838036,0.539432,0.45791
L,0.0997835,0.0836497,0.538454,0.457124
R,0.099653,0.0836498,0.537465,0.456427
L,0.0994777,0.0836382,0.53652,0.455682
R,0.0993048,0.08389,0.535769,0.455258
L,0.0991331,0.0840776,0.535193,0.454666
R,0.0989577,0.0839884,0.534384,0.453844
L,0.0987796,0.0838417,0.533511,0.453138
R,0.0986029,0.0836987,0.532557,0.452357
L,0.0984275,0.0835738,0.531613,0.45159
R,0.0982797,0.0835877,0.530771,0.451079
L,0.0981119,0.083505,0.529896,0.450381
R,0.0979378,0.0834918,0.528988,0.449972
L,0.0977691,0.0836095,0.528053,0.449781
R,0.0975982,0.0835981,0.527125,0.449222
L,0.0974423,0.0835307,0.5262,0.448565
R,0.0973222,0.0834481,0.525284,0.44791
L,0.0971529,0.0836193,0.524434,0.447724
R,0.0969848,0.0838448,0.523716,0.447499
L,0.0968272,0.0839093,0.523052,0.447014
R,0.0966708,0.0842517,0.522426,0.446956
L,0.0965058,0.0841624,0.521667,0.446251
R,0.0963433,0.0840899,0.52086,0.445663
L,0.0961812,0.0841072,0.52011,0.445256
R,0.0960233,0.0842279,0.519425,0.445044
L,0.0958644,0.0845878,0.518801,0.445178
R,0.0957283,0.0849785,0.518698,0.445017
L,0.0956624,0.0854937,0.518849,0.445016
R,0.0956504,0.0857924,0.519215,0.444645
L,0.0955774,0.0860952,0.519334,0.444269
R,0.0955422,0.0865004,0.519419,0.444089
L,0.0955602,0.0868593,0.519561,0.443873
R,0.0957418,0.0870522,0.520101,0.443429
L,0.095912,0.0869295,0.520319,0.442703
R,0.096108,0.0868306,0.520323,0.442087
L,0.0965805,0.0868493,0.520752,0.441771
R,0.0968281,0.086864,0.520406,0.441692
L,0.0969729,0.0868765,0.519954,0.441605
R,0.0971703,0.0869169,0.519485,0.441719
L,0.0971897,0.0870708,0.518875,0.442034
R,0.0971999,0.0871978,0.518262,0.442299
L,0.0970779,0.0873834,0.517515,0.442618
R,0.0970094,0.0875924,0.517011,0.44284
L,0.0971397,0.0878484,0.516818,0.443273
R,0.0973811,0.0881098,0.516767,0.443724
L,0.0977761,0.0881749,0.516777,0.443836
R,0.0983957,0.0882363,0.517353,0.443799
L,0.0989719,0.0881499,0.517647,0.443469
R,0.0994763,0.0881083,0.517226,0.443796
L,0.100019,0.0879858,0.516777,0.44381
R,0.1008,0.0878578,0.516856,0.443634
L,0.101116,0.0877218,0.51643,0.443289
R,0.101326,0.0875857,0.515797,0.443239
L,0.10152,0.0875026,0.515127,0.442911
R,0.101915,0.0874784,0.514972,0.442383
L,0.102293,0.0874137,0.514766,0.44204
R,0.102568,0.0873089,0.514125,0.442283
L,0.102842,0.0871761,0.513497,0.442984
R,0.103267,0.0870513,0.513167,0.443842
L,0.103341,0.087006,0.512477,0.443789
R,0.103391,0.0868935,0.51183,0.444107
L,0.103323,0.0867682,0.511109,0.445031
R,0.10332,0.0866586,0.510756,0.445731
L,0.103242,0.0865829,0.510231,0.446703
R,0.10319,0.0865147,0.509884,0.447539
L,0.103086,0.0863864,0.509319,0.447756
R,0.103111,0.086258,0.509072,0.44813
L,0.102987,0.0862072,0.508446,0.447978
R,0.102869,0.0860797,0.507777,0.448727
L,0.102719,0.0859541,0.507038,0.449406
R,0.102572,0.0858295,0.506403,0.450119
L,0.102425,0.0857396,0.505677,0.450358
R,0.102276,0.0856384,0.505096,0.450609
L,0.102156,0.0855157,0.504586,0.45158
R,0.102071,0.0854332,0.504013,0.453278
L,0.101942,0.0853361,0.503322,0.454786
R,0.101852,0.0852808,0.502653,0.456674
L,0.101714,0.0852105,0.50193,0.457088
R,0.101603,0.08513,0.501299,0.457426
L,0.101457,0.0854438,0.50058,0.457066
R,0.101315,0.0859047,0.499873,0.456659
L,0.101283,0.0858004,0.499298,0.458766
R,0.101273,0.0858326,0.498702,0.461759
L,0.101217,0.0857343,0.498008,0.4636
R,0.101157,0.0856915,0.49735,0.465557
L,0.101127,0.0856383,0.496666,0.467402
R,0.101104,0.0856922,0.496031,0.46946
L,0.101133,0.0859939,0.495374,0.472334
R,0.101327,0.086348,0.495117,0.47457
L,0.101494,0.0866662,0.49463,0.476537
R,0.101692,0.0871533,0.494001,0.478916
L,0.101702,0.0875236,0.493324,0.480739
R,0.101802,0.0881903,0.492663,0.482891
L,0.101694,0.088094,0.492105,0.482847
R,0.101623,0.0880482,0.491446,0.482875
L,0.101485,0.0879285,0.490831,0.48248
R,0.101346,0.0878084,0.490325,0.482234
L,0.101209,0.0876903,0.489892,0.482183
R,0.101071,0.0875767,0.489392,0.482195
L,0.100937,0.0876444,0.48894,0.483139
R,0.100811,0.0877542,0.488314,0.483949
L,0.100675,0.0876364,0.48785,0.483693
R,0.100541,0.0875292,0.48721,0.483578
L,0.100469,0.0875196,0.486564,0.48402
