SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
L,0.57632,0.0767074,0.0803579,0.39017,0.253015
R,8.84103,0.0766789,0.0802749,0.389767,0.25299
L,1.90448,0.0767205,0.0802069,0.38937,0.253135
R,0.174601,0.0767533,0.0801534,0.388972,0.253367
L,0.730089,0.0767337,0.0801162,0.388572,0.253686
R,6.89451,0.0766916,0.0800395,0.388193,0.253687
L,1.57147,0.0766515,0.0799615,0.387808,0.253584
R,3.94122,0.0765812,0.0798803,0.38745,0.253558
L,0.583197,0.0765123,0.0798015,0.387083,0.253486
R,2.64927,0.0764361,0.0797213,0.386739,0.253476
L,0.829804,0.076362,0.0796445,0.38638,0.253399
R,6.20879,0.0762849,0.0795713,0.386049,0.253472
L,2.75501,0.0763217,0.0796143,0.385882,0.253925
R,1.79497,0.0763879,0.0796375,0.385737,0.25426
L,3.1576,0.0763245,0.0795903,0.385417,0.254401
R,2.54366,0.0762621,0.0795456,0.385112,0.254477
L,0.381359,0.0761891,0.0795206,0.384777,0.25461
