SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
L,0.966612,0.0909366,0.0800327,0.743137,0.444251
R,3.21762,0.0905425,0.0797435,0.739901,0.442298
L,1.20546,0.0902712,0.0794329,0.736677,0.440371
R,9.01056,0.0898828,0.0790946,0.733608,0.43856
L,1.86972,0.0896701,0.0787836,0.730474,0.436839
R,1.30412,0.0894518,0.0785359,0.727379,0.435191
L,0.00900333,0.0892086,0.0783047,0.724327,0.433557
R,1.59678,0.0889766,0.0781236,0.721305,0.431912
L,0.480963,0.08875,0.0781903,0.718318,0.430404
R,0.301823,0.0885206,0.0783894,0.715369,0.428965
L,0.0916482,0.0882521,0.0785335,0.71246,0.427487
R,7.17477,0.0879112,0.0787709,0.709657,0.426244
L,1.08979,0.0875806,0.0786787,0.707023,0.424828
R,5.51849,0.0872364,0.0785564,0.704247,0.423244
L,2.74352,0.0870584,0.0784285,0.701663,0.421708
R,2.56442,0.0868243,0.0782968,0.698996,0.420115
L,0.593403,0.0865259,0.0781573,0.696316,0.418525
R,1.79745,0.0862782,0.0781719,0.693691,0.417036
L,0.573078,0.0859557,0.0784936,0.691046,0.41565
R,6.79185,0.0856515,0.0787108,0.68843,0.414172
L,0.288743,0.0853289,0.0787852,0.685837,0.412666
R,1.64893,0.08501,0.0790282,0.683273,0.411222
L,0.170277,0.0847087,0.0794843,0.680745,0.409829
R,3.22421,0.0844577,0.0797316,0.678266,0.40836
L,1.88253,0.0841539,0.0803109,0.675794,0.406976
R,3.23803,0.0838597,0.0807235,0.67335,0.405558
L,0.49927,0.0835632,0.0808766,0.670924,0.404114
R,9.91928,0.0833035,0.081499,0.668529,0.402809
L,0.5519,0.0830475,0.0818874,0.66616,0.401452
R,3.49435,0.0827588,0.0822358,0.663816,0.400052
L,0.887705,0.0825063,0.0822437,0.661491,0.398653
R,5.94944,0.0822459,0.0820619,0.659191,0.397334
L,1.44569,0.0819622,0.081799,0.656925,0.396124
R,1.92379,0.0816819,0.0815643,0.654678,0.394872
L,0.52083,0.0814039,0.0812876,0.652456,0.39373
R,1.11983,0.0811304,0.0810125,0.650249,0.392567
L,0.462024,0.0808836,0.0807407,0.648063,0.391381
R,0.328993,0.0806536,0.0804713,0.645904,0.390166
L,1.1229,0.0806007,0.0802049,0.643798,0.388931
R,2.60201,0.0806447,0.0799747,0.641748,0.38765
L,0.122969,0.080754,0.0797775,0.639717,0.386392
R,1.7448,0.0808315,0.0795539,0.637693,0.385142
L,1.30056,0.0806761,0.0793268,0.635639,0.383902
R,2.60434,0.0805898,0.0790912,0.633617,0.382679
L,0.0838783,0.0805282,0.0788461,0.631616,0.381465
R,1.06228,0.0804606,0.0786067,0.629633,0.38028
L,1.40892,0.080389,0.0785038,0.627656,0.379226
R,1.1858,0.080355,0.0785377,0.625698,0.378315
